#           k/h    P           
    0.16561E+03    0.11473E-03
    0.16896E+03    0.10838E-03
    0.17237E+03    0.10238E-03
    0.17585E+03    0.96710E-04
    0.17941E+03    0.91343E-04
    0.18303E+03    0.86267E-04
    0.18673E+03    0.81467E-04
    0.19050E+03    0.76928E-04
    0.19435E+03    0.72637E-04
    0.19828E+03    0.68579E-04
    0.20228E+03    0.64743E-04
    0.20637E+03    0.61116E-04
    0.21054E+03    0.57688E-04
    0.21479E+03    0.54448E-04
    0.21913E+03    0.51385E-04
    0.22356E+03    0.48490E-04
    0.22807E+03    0.45753E-04
    0.23268E+03    0.43165E-04
    0.23738E+03    0.40720E-04
    0.24217E+03    0.38408E-04
    0.24707E+03    0.36222E-04
    0.25206E+03    0.34156E-04
    0.25715E+03    0.32204E-04
    0.26234E+03    0.30358E-04
    0.26764E+03    0.28613E-04
    0.27305E+03    0.26965E-04
    0.27857E+03    0.25408E-04
    0.28419E+03    0.23938E-04
    0.28994E+03    0.22550E-04
    0.29579E+03    0.21242E-04
    0.30177E+03    0.20007E-04
    0.30786E+03    0.18843E-04
    0.31408E+03    0.17746E-04
    0.32043E+03    0.16712E-04
    0.32690E+03    0.15738E-04
